number of syllables per word, as evaluated by my rule system (previous version)


SEPARATED WORDS: 
2 forward 
2 lawyer 
2 present 
2 section 
5 environmental 
1 glass 
2 answer 
1 skill 
2 sister 
1 pm 
4 professor 
4 operation 
3 financial 
1 crime 
1 stage 
1 ok 
2 compare 
4 authority 
1 miss 
2 design 
1 sort 
1 one 
1 act 
1 ten 
2 knowledge 
1 gun 
2 station 
1 blue 
1 state 
2 strategy 
2 little 
2 clearly 
2 discuss 
3 indeed 
1 force 
1 truth 
1 song 
3 example 
4 democratic 
1 check 
4 environment 
1 leg 
1 dark 
2 public 
2 various 
2 rather 
1 laugh 
1 guess 
3 executive 
1 set 
2 study 
1 prove 
1 hang 
2 entire 
1 rock 
2 design 
2 enough 
2 forget 
1 since 
1 claim 
1 note 
2 remove 
3 manager 
1 help 
1 close 
1 sound 
2 enjoy 
2 network 
2 legal 
3 religious 
1 cold 
1 form 
2 final 
1 main 
1 science 
1 green 
3 memory 
1 card 
2 above 
1 seat 
1 cell 
3 establish 
1 nice 
1 trial 
2 expert 
1 that 
1 spring 
1 firm 
3 democrat 
2 radio 
2 visit 
3 management 
1 care 
2 avoid 
3 imagine 
2 tonight 
1 huge 
1 ball 
1 no 
1 close 
2 finish 
2 yourself 
1 talk 
2 theory 
2 impact 
2 respond 
2 statement 
2 maintain 
1 charge 
3 popular 
4 traditional 
2 onto 
2 reveal 
3 direction 
2 weapon 
1 employee 
3 cultural 
2 contain 
1 peace 
1 head 
2 control 
1 base 
1 pain 
2 apply 
1 play 
2 measure 
1 wide 
1 shake 
1 fly 
3 interview 
2 manage 
1 chair 
1 fish 
4 particular 
3 camera 
2 structure 
3 politics 
2 perform 
1 bit 
1 weight 
3 suddenly 
3 discover 
3 candidate 
1 top 
3 production 
1 treat 
1 trip 
2 evening 
2 affect 
2 inside 
3 conference 
2 unit 
1 best 
1 style 
2 adult 
2 worry 
1 range 
2 mention 
2 rather 
1 far 
1 deep 
1 past 
1 edge 
4 individual 
3 specific 
2 writer 
2 trouble 
5 necessary 
2 throughout 
2 challenge 
1 fear 
2 shoulder 
4 institution 
2 middle 
1 sea 
1 dream 
1 bar 
3 beautiful 
3 property 
2 instead 
2 improve 
1 stuff 
2 detail 
2 method 
1 sign 
3 somebody 
3 magazine 
2 hotel 
2 soldier 
2 reflect 
2 heavy 
2 sexual 
1 cause 
1 bag 
1 heat 
1 fall 
2 marriage 
1 tough 
1 sing 
2 surface 
2 purpose 
2 exist 
2 pattern 
1 whom 
1 skin 
2 agent 
2 owner 
2 machine 
1 gas 
1 down 
2 ahead 
4 generation 
3 commercial 
2 address 
2 cancer 
1 test 
2 item 
3 reality 
1 coach 
1 step 
1 mrs 
1 yard 
1 beat 
2 violence 
2 total 
1 tend 
3 investment 
3 discussion 
2 finger 
2 garden 
2 notice 
3 collection 
2 modern 
1 task 
2 partner 
3 positive 
2 civil 
2 kitchen 
3 consumer 
1 shot 
2 budget 
1 wish 
2 painting 
2 scientist 
1 safe 
3 agreement 
3 capital 
1 mouth 
1 nor 
2 victim 
3 newspaper 
2 instead 
1 threat 
6 responsibility 
1 smile 
3 attorney 
1 score 
2 account 
5 interesting 
1 break 
2 audience 
1 rich 
2 dinner 
2 figure 
1 vote 
2 western 
2 relate 
2 travel 
2 debate 
2 prevent 
3 citizen 
4 majority 
1 none 
1 front 
1 born 
2 admit 
2 senior 
2 assume 
1 wind 
1 key 
5 professional 
2 mission 
1 fast 
2 alone 
3 customer 
2 suffer 
1 speech 
3 successful 
2 option 
4 participant 
2 southern 
1 fresh 
4 eventually 
1 no 
3 forest 
2 video 
2 global 
2 senate 
2 reform 
2 access 
3 restaurant 
1 judge 
2 publish 
1 cost 
3 relation 
1 like 
2 release 
1 own 
1 bird 
3 opinion 
2 credit 
3 critical 
2 corner 
3 concerned 
2 recall 
2 version 
1 stare 
2 safety 
3 effective 
3 neighborhood 
4 original 
1 act 
1 troop 
2 income 
3 directly 
1 hurt 
2 species 
4 immediately 
1 track 
2 basic 
1 strike 
1 hope 
1 sky 
2 freedom 
4 absolutely 
1 plane 
3 nobody 
2 achieve 
2 object 
3 attitude 
2 labor 
2 refer 
2 concept 
1 client 
3 powerful 
2 perfect 
1 nine 
2 therefore 
2 conduct 
2 announce 
4 conversation 
3 examine 
1 touch 
1 please 
2 attend 
3 completely 
1 vote 
3 variety 
1 sleep 
1 turn 
3 involved 
5 investigation 
2 nuclear 
3 researcher 
1 press 
2 conflict 
2 spirit 
3 experience 
2 replace 
2 british 
3 encourage 
1 lot 
1 lot 
1 lot 
1 lot 
3 argument 
1 by 
1 once 
1 camp 
1 brain 
2 feature 
3 afternoon 
1 am 
2 weekend 
2 dozen 
5 possibility 
2 along 
3 insurance 
3 department 
2 battle 
3 beginning 
1 date 
4 generally 
3 african 
2 very 
2 sorry 
2 crisis 
2 complete 
1 fan 
1 stick 
2 define 
3 easily 
1 through 
1 hole 
2 element 
2 vision 
2 status 
2 normal 
2 chinese 
1 ship 
3 solution 
1 stone 
2 slowly 
1 scale 
1 bit 
5 university 
3 introduce 
2 driver 
2 attempt 
1 park 
1 spot 
1 lack 
1 ice 
1 boat 
1 drink 
1 sun 
1 front 
2 distance 
1 wood 
2 handle 
1 truck 
2 return 
2 mountain 
2 survey 
3 supposed 
3 tradition 
2 winter 
2 village 
2 soviet 
2 refuse 
1 sales 
1 roll 
5 communication 
1 run 
1 screen 
1 gain 
3 resident 
1 hide 
1 gold 
1 club 
2 future 
1 farm 
3 potential 
2 increase 
2 middle 
3 european 
2 presence 
4 independent 
2 district 
1 shape 
2 reader 
1 ms 
2 contract 
1 crowd 
2 christian 
2 express 
3 apartment 
2 willing 
1 strength 
2 previous 
1 band 
3 obviously 
1 horse 
6 interested 
2 target 
2 prison 
1 ride 
1 guard 
1 terms 
2 demand 
3 reporter 
3 deliver 
1 text 
1 share 
1 tool 
1 wild 
3 vehicle 
2 observe 
1 flight 
2 inside 
4 facility 
4 understanding 
3 average 
2 emerge 
3 advantage 
1 quick 
1 light 
3 leadership 
1 earn 
1 pound 
2 basis 
1 bright 
3 operate 
1 guest 
2 sample 
3 contribute 
2 tiny 
1 block 
3 protection 
2 settle 
2 feed 
2 collect 
4 additional 
1 while 
2 highly 
4 identity 
2 title 
2 mostly 
2 lesson 
1 faith 
2 river 
2 promote 
2 living 
2 present 
1 count 
2 unless 
2 marry 
3 tomorrow 
2 technique 
1 path 
1 ear 
1 shop 
1 folk 
2 order 
3 principle 
